flown,prob
269,1.089538253688087e-05
270,1.6343073805321303e-05
271,2.7238456342202174e-05
272,2.7238456342202174e-06
273,1.6343073805321303e-05
274,1.6343073805321303e-05
275,1.906691943954152e-05
276,1.6343073805321303e-05
277,2.9962301976422392e-05
278,2.7238456342202174e-05
279,8.171536902660652e-06
280,2.179076507376174e-05
281,2.179076507376174e-05
282,2.179076507376174e-05
283,1.6343073805321303e-05
284,1.6343073805321303e-05
285,2.179076507376174e-05
286,1.906691943954152e-05
287,8.171536902660652e-06
288,1.906691943954152e-05
289,1.6343073805321303e-05
291,1.089538253688087e-05
292,1.089538253688087e-05
293,5.447691268440435e-06
294,1.089538253688087e-05
295,2.179076507376174e-05
296,1.089538253688087e-05
297,1.3619228171101087e-05
298,1.6343073805321303e-05
299,2.9962301976422392e-05
300,2.7238456342202174e-06
301,2.4514610707981957e-05
302,8.171536902660652e-06
303,1.3619228171101087e-05
304,1.3619228171101087e-05
305,2.179076507376174e-05
306,2.179076507376174e-05
307,8.171536902660652e-06
308,1.6343073805321303e-05
309,1.6343073805321303e-05
310,8.171536902660652e-06
311,2.7238456342202174e-06
312,1.089538253688087e-05
313,1.6343073805321303e-05
314,1.6343073805321303e-05
315,8.171536902660652e-06
316,1.3619228171101087e-05
317,1.6343073805321303e-05
318,1.3619228171101087e-05
319,8.171536902660652e-06
320,1.6343073805321303e-05
321,5.447691268440435e-06
322,8.171536902660652e-06
323,1.089538253688087e-05
324,8.171536902660652e-06
325,5.447691268440435e-06
326,2.4514610707981957e-05
