dg,cc_mean,cc_lower,cc_upper,n_samples
1100.0,0.4148568113525724,0.4028965021589789,0.4270497814414023,189
1101.0,0.4138923851700288,0.4021209648063567,0.42599422513382074,189
1104.0,0.41325728268716216,0.4011423329922481,0.42549402584099993,192
1106.0,0.4134412602752031,0.4011857912219247,0.42562180142455625,191
1108.0,0.41261386233966657,0.4007020512906337,0.4248237075598591,189
1110.0,0.4117917532542692,0.3996661703399688,0.42431759477843156,192
1111.0,0.4117917532542692,0.3997934121229578,0.4239309239191518,192
1115.0,0.4111471171218417,0.3989410260009846,0.4236704983776461,190
1122.0,0.4092545169986073,0.39719709177053514,0.4217803971299107,186
1125.0,0.40967198618977685,0.3975951379171703,0.4218382960731034,189
1128.0,0.40852872484690184,0.3963520444786858,0.4207454165999646,191
1130.0,0.40647291174621525,0.39474460759502183,0.41876950925490347,193
1131.0,0.40669828837453004,0.39496208211093614,0.4186635415174638,194
1132.0,0.40669828837453004,0.39499301991603014,0.4186386679745623,194
1134.0,0.40669828837453004,0.3946647336928725,0.41846049167927496,194
1137.0,0.40669828837453004,0.3949399901160652,0.41880304991742345,194
1138.0,0.4068758229358172,0.3950643125982458,0.41907011634500185,195
1139.0,0.4055364096993717,0.39384393739681417,0.4170848981013921,195
1147.0,0.4047066180881865,0.39329123568516633,0.41648580621398257,193
1150.0,0.4047066180881865,0.39298137545811834,0.41639040909911246,193
1151.0,0.40471679589460824,0.3930055380166487,0.41658288056105974,192
1154.0,0.4046810805753934,0.39279357064909926,0.4166282062237988,193
1157.0,0.4055511591929074,0.3938766509526568,0.4172240993577014,195
1159.0,0.4055511591929074,0.39387803305699665,0.4175416379033599,195
1162.0,0.4063661832450201,0.3947016153653763,0.4181710265963946,194
1163.0,0.4063661832450201,0.39493285841164516,0.41857445227876783,194
1164.0,0.4063661832450201,0.39476965419870125,0.4183305699838069,194
1168.0,0.40552741218857874,0.3939161430305775,0.4175038872044957,194
1169.0,0.4055886510027289,0.394201760922058,0.417445247768821,195
1171.0,0.4053319267550799,0.393883117465809,0.41727537607556,197
1172.0,0.4053319267550799,0.3939070987611801,0.4169936280342669,197
1174.0,0.4052240622301406,0.39375171669605064,0.4171675289096885,196
1175.0,0.4053824751230048,0.39374850706656556,0.4168388659921937,195
1176.0,0.4053824751230048,0.39372767524671587,0.417214544479704,195
1177.0,0.40600005889956775,0.3943905992844818,0.417801435608558,196
1180.0,0.4043610284562699,0.3927816483986411,0.41590118242578794,194
1181.0,0.4034198144810668,0.3918958543902417,0.4150810577417116,193
1183.0,0.4028490763820427,0.3915947900318923,0.4144442346896792,193
1184.0,0.4031665769276556,0.391867127274328,0.41473991051628856,191
1187.0,0.40337467277260275,0.39215502228945975,0.4146289124180053,191
1193.0,0.40384320083016284,0.39239689590923144,0.415394552730727,190
1197.0,0.40384320083016284,0.39250884268211134,0.4153415869840036,190
1198.0,0.40384320083016284,0.39262376475477756,0.4155260835376053,190
1199.0,0.40384320083016284,0.3924407085025962,0.4152789573713516,190
1202.0,0.40384320083016284,0.3926172984405373,0.41520189176841926,190
1205.0,0.40412028943149697,0.39286685301724905,0.41566188563980105,191
1207.0,0.4038384973890419,0.3925841022456574,0.41536483054326845,193
1210.0,0.40452417613744,0.3933700784204721,0.4161047614965187,193
1212.0,0.40452417613744,0.39336577961218916,0.4158150656553044,193
1218.0,0.40283173645254255,0.3919601755373046,0.41383524693999274,196
1221.0,0.40405838910633135,0.3932321038294461,0.4149857690127797,196
1223.0,0.40405838910633135,0.39314121907405275,0.41502960353790685,196
1224.0,0.4039405314151513,0.3931944094699897,0.4150919026837553,197
1225.0,0.40404902058539555,0.3933484934407,0.41467641075387984,198
1228.0,0.40435869341301095,0.3935772727541459,0.4151840323344388,198
1231.0,0.4043170009824817,0.39342689542968395,0.41532048963364054,197
1243.0,0.4044662242662462,0.39374606710036447,0.41558212061225835,198
1244.0,0.4049500123655142,0.3943768693219211,0.41599695626353334,198
1251.0,0.40349675337839885,0.3926734110717291,0.4142255907090468,197
1252.0,0.40344399835027595,0.3926312123391444,0.41447383685199857,194
1254.0,0.40344399835027595,0.3926250413368103,0.41479276691937905,194
1259.0,0.4025895267154794,0.39179117367111915,0.41358095947820617,193
1263.0,0.40211997008864725,0.39108443339508897,0.4132686368945344,192
1265.0,0.4027167043083459,0.39198616877723863,0.4139188410955297,193
1268.0,0.40176950270040995,0.3906773295441836,0.4131330715259285,194
1271.0,0.40096791088896744,0.39006687710050975,0.41220688619321305,195
1276.0,0.4016944863544441,0.3907774580832432,0.4126346160537388,197
