year,x1_mean,x1_lower,x1_upper,x2_mean,x2_lower,x2_upper,x_mean,x_lower,x_upper,y1_mean,y1_lower,y1_upper,y2_mean,y2_lower,y2_upper,y_mean,y_lower,y_upper,nsamples
2010,4.811764121840866,4.505253748166898,5.118274495514835,4.576431349562584,4.2687971904095665,4.884065508715601,4.6940977357017255,4.476964271443173,4.911231199960278,36.589535249907094,36.51916103119402,36.65990946862017,36.063052772814345,35.9903209431942,36.13578460243449,36.32629401136071,36.275686817266894,36.37690120545452,279824
2011,5.3521878831740235,5.060063263575016,5.644312502773031,5.528795573811981,5.234884087963088,5.822707059660874,5.440491728493001,5.233295596002438,5.647687860983564,36.36386597387427,36.29642120084909,36.43131074689945,35.76392313281549,35.694053872509706,35.83379239312128,36.06389455334488,36.01533336993651,36.11245573675325,308202
2012,5.867303213955783,5.5886950880406285,6.145911339870937,6.489464267516299,6.208386382304328,6.77054215272827,6.178383740736042,5.980501541030341,6.376265940441742,36.21103026389188,36.14654918716198,36.275511340621776,35.52919851425417,35.462255649952674,35.596141378555664,35.87011438907303,35.82363376967346,35.916595008472605,338813
2013,6.632305086721327,6.366482019783933,6.89812815365872,7.531678556003444,7.263146682072232,7.800210429934655,7.081991821362383,6.893063635829739,7.270920006895027,36.041924480195036,35.98039839905436,36.10345056133571,35.3376793454129,35.2735824615643,35.4017762292615,35.68980191280397,35.645370999768886,35.73423282583906,372861
2014,7.626760280985669,7.371729841112196,7.881790720859143,8.315343396615065,8.057843522544323,8.572843270685807,7.971051838800365,7.7898413573131595,8.152262320287571,35.76610180869123,35.70662443278269,35.825579184599775,35.14064421899832,35.07898200297061,35.202306435026024,35.453373013844775,35.41053133276799,35.49621469492156,405857
2015,8.84577823675238,8.600134960441732,9.091421513063029,9.126113768242199,8.878269001994829,9.373958534489569,8.985946002497293,8.811469649071949,9.160422355922638,35.499347548206856,35.441557792992505,35.55713730342121,34.966071537122986,34.9065112129969,35.025631861249074,35.232709542664914,35.1912115493463,35.27420753598353,438475
2016,10.018363335878531,9.780740960311354,10.255985711445708,9.705197242001246,9.465268702565686,9.945125781436806,9.861780288939888,9.692938278417413,10.030622299462364,35.209612976878425,35.1532715284372,35.26595442531965,34.83175881818586,34.77444820427204,34.88906943209968,35.020685897532154,34.98050055019814,35.06087124486617,470167
2017,12.815300002367314,12.587964585931859,13.042635418802769,12.17939617369225,11.949694947483428,12.409097399901073,12.497348088029776,12.335757921446527,12.658938254613025,34.96165007485682,34.90852958457,35.01477056514364,34.697539985337926,34.64395260364204,34.75112736703381,34.829595030097366,34.79186689153626,34.86732316865847,523800
2018,14.967048702382257,14.751079197175244,15.18301820758927,13.894558093562708,13.67627349043718,14.112842696688235,14.43080339797249,14.277266127195954,14.584340668749025,34.70038655949823,34.650119445507414,34.75065367348904,34.55594925532279,34.50562190871342,34.60627660193215,34.6281679074105,34.59260214752429,34.66373366729671,584656
2019,17.03097386725614,16.8271159757197,17.23483175879258,15.636135593584847,15.430359364185817,15.841911822983876,16.333554730420495,16.18872071475181,16.47838874608918,34.44747892788953,34.400189097084144,34.49476875869491,34.410811028688165,34.363649424117284,34.45797263325905,34.42914497828885,34.39575130761996,34.46253864895775,658878
2020,18.024079167443258,17.830387456043844,18.21777087884267,16.62509158597619,16.43013412197455,16.82004904997783,17.32458537670972,17.187171692854136,17.461999060565304,34.27931763531135,34.23410734373882,34.32452792688388,34.369810602600275,34.32503090248722,34.41459030271333,34.324564118955806,34.292747402741554,34.35638083517006,724311
2021,20.244687035582682,20.06053234123448,20.428841729930884,19.131838021933884,18.94679107570022,19.31688496816755,19.688262528758276,19.55772681429694,19.81879824321961,34.09545701440221,34.05279114039391,34.13812288841051,34.30699852682235,34.265032522162045,34.34896453148265,34.20122777061227,34.171304411965096,34.231151129259445,801682
2022,23.037807611353617,22.862362109003413,23.21325311370382,22.384955829559892,22.208812255434786,22.561099403685,22.711381720456764,22.587075033884506,22.83568840702902,33.9303887502461,33.89020548128098,33.970572019211225,34.25588078020515,34.21666474001837,34.29509682039193,34.093134765225635,34.06505976226043,34.12120976819084,883806
